3:6138	4288	7145	2101	7051	11716	2337	2643	6782	6819	9128	3700	4534	4687	4860	4933	5507	5893	9236	10681	11982	13943	12391	14775	8385	11696	2626	11845	14328	648	10178	5742	13014	8740	2968	4208	5452	66	1977	5074	3746	5671	7135	3089	2752	2842	484	10818	12412	1280	
7:1168	6489	10968	1557	2522	8008	12202	8352	6552	7179	5893	2408	2337	12391	53	10477	4484	413	1645	4288	3419	7370	181	2412	1798	298	14353	3057	3520	2101	7145	5507	10681	4687	7869	484	5752	7051	5128	5864	2643	11716	2991	648	5742	14328	12501	8909	5637	538	
11:11982	4687	2101	4288	7145	7051	648	14775	5742	7578	2337	2643	11716	8361	2968	5452	1977	6819	9128	484	1739	3740	1846	4933	5507	4534	6138	3700	5893	4860	9236	10681	5752	8008	9228	9157	5981	463	14353	2265	4988	13943	12181	7114	3576	5196	9040	5251	786	6771	
15:9552	8205	7514	5018	6782	1141	14239	7732	10580	5074	12369	7179	12353	4056	10915	4286	189	14008	10541	9219	9276	5284	4126	5196	181	8411	6554	13415	12195	11286	9031	23	13337	14355	7051	14328	1967	14972	10001	7271	13508	7190	61	9040	9036	9421	13323	5519	11246	6584	
16:3325	9323	8470	4610	5893	6774	5671	311	5168	6021	9202	5188	11636	5018	6	6647	1592	1135	5617	5370	4933	4066	9276	4627	3273	1359	10347	9231	6593	7051	5833	547	1943	12650	12600	13957	2408	7532	1283	1722	4315	5460	5223	10069	654	2697	183	6252	12885	5452	
17:4335	13943	5460	3702	13764	11569	13014	11650	763	9986	8880	620	14061	963	7465	1712	4351	9804	13677	7145	628	14243	3311	8901	6080	5937	463	9082	1501	4497	14212	2337	1391	2101	4288	5893	3700	4534	5507	7051	11416	2643	11716	2867	11845	12391	8385	14590	278	2061	
18:5283	4288	4687	2282	9421	4315	8909	4397	3184	1262	836	14328	226	14684	3700	3198	2752	11982	1943	10541	11716	6021	61	2626	12391	6535	12501	1494	7194	2101	7145	423	1977	1914	12118	9668	2861	8572	9236	13340	5275	3856	3614	7051	3460	5002	181	13943	413	9259	
19:12158	1600	11010	13133	9646	4104	7135	12799	21	13078	4759	50	9083	3294	3662	11656	355	1237	12214	2689	4573	6416	773	2994	12893	5742	11691	4818	5748	2842	6825	4464	12097	8572	6330	1056	10775	3757	2031	2282	1039	53	2460	9034	8402	816	4191	295	5827	13981	
20:13679	7145	311	11982	14606	1508	2101	484	2752	9323	8788	12129	1562	2337	5981	3377	14775	10178	200	9128	3740	6969	66	12199	4288	4234	14972	9236	856	4266	7051	8930	11357	13353	2624	786	397	6167	2643	11716	2879	7980	10391	207	2626	1965	7989	8880	13502	6819	
24:854	8681	13266	4117	11122	3425	6954	12501	14217	12309	1572	12760	3757	10917	13337	1739	14029	3377	11716	8955	4163	1338	7681	10822	10241	4470	9031	12679	4687	469	12433	8909	3681	8725	8081	3033	14919	987	4676	3312	8490	9014	1754	2773	9536	1452	3460	12412	7145	9188	
