3:unicode	encoding	string	c#	ascii	utf-8	java	c++	nsstring	vb.net	30.0%	60.0%	40.0
5:sql	primary-key	sql-server	database	foreign-keys	tsql	oracle	database-design	sql-server-2005	mysql	10.0%	33.33333333333333%	15.384615384615383
6:java	javascript	c#	winapi	php	xna	android	wpf	floating-point	floating-accuracy	0.0%	0.0%	NaN
15:colors	c#	sql	cocoa	.net	label	winforms	java	android	vb.net	10.0%	33.33333333333333%	15.384615384615383
18:c#	xml	php	file	open-source	android	objective-c	bittorrent	filereader	image	0.0%	0.0%	NaN
25:flash	flex	unit-testing	javascript	asp.net	junit4	java	testing	adobe-air	graphics	20.0%	40.0%	26.666666666666668
35:windows	wcf	.net	c	c#	dll	service	windows-services	rest	asp.net	0.0%	0.0%	NaN
36:java	visual-studio	python	php	c#	visual-studio-2008	ios	porting	objective-c	optional-variables	10.0%	33.33333333333333%	15.384615384615383
42:windows	c#	python	casting	c	php	.net	dll	java	random	10.0%	33.33333333333333%	15.384615384615383
49:.net	c#	java	version	vb.net	delphi	.net-3.5	internet-explorer	php	python	10.0%	50.0%	16.666666666666668
53:c#	html	java	objective-c	css	javascript	jquery-ui	long	float	types	30.0%	50.0%	37.5
67:jquery	html	javascript	css	select	dropdownlist	php	web-development	html-select	iphone	10.0%	25.0%	14.285714285714286
68:google-maps	c++	stl	google-maps-api-3	api	google	javascript	rss	jquery	java	10.0%	33.33333333333333%	15.384615384615383
72:jquery	php	websocket	java	javascript	support	xbap	browser	mobile	wtai	10.0%	25.0%	14.285714285714286
73:.net	c#	serialization	vb.net	javascript	language-agnostic	string	algorithm	php	iphone	20.0%	40.0%	26.666666666666668
75:debugging	visual-studio	.net	visual-studio-2010	c++	c#	visual-studio-2008	xcode	iphone	msbuild	20.0%	50.0%	28.571428571428573
83:php	java	c#	asp.net	web-services	c++	composition	outlook-addin	visual-studio	math	10.0%	50.0%	16.666666666666668
97:programming-languages	c++	c#	career-development	c	self-improvement	oop	.net	java	vb	0.0%	0.0%	NaN
114:git	hosting	project-management	c#	xcode	iphone	.net	java	web-development	open-source	10.0%	25.0%	14.285714285714286
118:regex	javascript	string	c#	parsing	java	php	datetime	operation	math	10.0%	50.0%	16.666666666666668
138:c#	process	winapi	windows	javascript	python	.net	java	html	linux	0.0%	0.0%	NaN
144:java	eclipse	c#	delphi	setup	asp.net	.net	rpc	eclipse-plugin	string	10.0%	50.0%	16.666666666666668
164:osx	python	cocoa	c	.net	mono	c#	objective-c	monodevelop	deployment	20.0%	40.0%	26.666666666666668
182:c++	c	oop	programming-languages	javascript	interview-questions	.net	architecture	real-time	voip	10.0%	33.33333333333333%	15.384615384615383
186:c#	asp.net	winforms	controls	.net	control	focus	webbrowser-control	wpf	iphone	20.0%	50.0%	28.571428571428573
204:bash	shell	c	c#	.net	command	java	selenium	iis7	php	20.0%	66.66666666666666%	30.769230769230766
221:c#	silverlight	linux	mysql	php	c	windows	ssh	java	linkpoint	0.0%	0.0%	NaN
231:timer	game-development	iphone	opengl-es	javascript	books	opengl	graphics	python	xna	40.0%	80.0%	53.333333333333336
234:opengl-es	iphone	game-development	opengl	c#	xna	objective-c	graphics	.net	emulator	20.0%	40.0%	26.666666666666668
236:jquery	javascript	ajax	asp.net	jquery-ajax	python	php	java	version	browser	10.0%	25.0%	14.285714285714286
253:unit-testing	testing	mocking	c#	integration-testing	java	.net	mbunit	visual-studio-2010	junit4	10.0%	25.0%	14.285714285714286
256:asp.net	authentication	asp.net-mvc	c#	ruby-on-rails	asp.net-membership	ldap	membership	sql	php	0.0%	0.0%	NaN
