Tag	tagOccurNum	tagTitleOccurNum	tagBodyOccurNum	titleRatio	bodyRatio	totalRatio
winrar	27	15	22	23	0.5555555555555556	0.8148148148148148	0.8518518518518519
maven	2853	2064	2557	2709	0.7234490010515248	0.8962495618647038	0.9495268138801262
send-on-behalf-of	3	2	2	2	0.6666666666666666	0.6666666666666666	0.6666666666666666
html5-video	403	201	250	296	0.4987593052109181	0.6203473945409429	0.7344913151364765
traversing	101	33	11	39	0.32673267326732675	0.10891089108910891	0.38613861386138615
shared-directory	3	1	1	1	0.3333333333333333	0.3333333333333333	0.3333333333333333
gruber	4	4	2	4	1.0	0.5	1.0
django-custom-tags	4	1	3	3	0.25	0.75	0.75
system-tray	157	81	113	122	0.5159235668789809	0.7197452229299363	0.7770700636942676
fontmetrics	23	8	14	14	0.34782608695652173	0.6086956521739131	0.6086956521739131
jsunit	16	11	14	14	0.6875	0.875	0.875
selectonemenu	32	24	27	29	0.75	0.84375	0.90625
ado.net-data-services	159	60	76	97	0.37735849056603776	0.4779874213836478	0.610062893081761
text-replacement	20	2	4	5	0.1	0.2	0.25
devexpress	983	433	590	718	0.4404883011190234	0.6002034587995931	0.7304170905391658
physx	16	10	13	15	0.625	0.8125	0.9375
post-build	21	16	18	19	0.7619047619047619	0.8571428571428571	0.9047619047619048
highrise	10	9	10	10	0.9	1.0	1.0
timed	17	12	3	12	0.7058823529411765	0.17647058823529413	0.7058823529411765
waitforsingleobject	17	7	15	15	0.4117647058823529	0.8823529411764706	0.8823529411764706
pdostatement	7	5	7	7	0.7142857142857143	1.0	1.0
tcpdf	161	132	139	156	0.8198757763975155	0.8633540372670807	0.968944099378882
ftp4j	3	2	2	3	0.6666666666666666	0.6666666666666666	1.0
projection-matrix	13	4	12	12	0.3076923076923077	0.9230769230769231	0.9230769230769231
webdynpro	10	5	7	7	0.5	0.7	0.7
subtype	20	8	12	13	0.4	0.6	0.65
coin-change	8	4	6	6	0.5	0.75	0.75
visualvm	91	66	81	84	0.7252747252747253	0.8901098901098901	0.9230769230769231
commons-beanutils	14	3	8	9	0.21428571428571427	0.5714285714285714	0.6428571428571429
html-indentation	1	1	1	1	1.0	1.0	1.0
initializecomponent	14	7	12	12	0.5	0.8571428571428571	0.8571428571428571
lidgren	4	4	3	4	1.0	0.75	1.0
git-subtree	8	5	7	7	0.625	0.875	0.875
drawing	1301	530	674	854	0.40737893927747887	0.5180630284396618	0.6564181398923905
toolstripdropdown	11	8	8	9	0.7272727272727273	0.7272727272727273	0.8181818181818182
horizontal-accordion	9	5	6	6	0.5555555555555556	0.6666666666666666	0.6666666666666666
universalindent	1	1	1	1	1.0	1.0	1.0
like-operator	95	27	24	36	0.28421052631578947	0.25263157894736843	0.37894736842105264
timer	2005	1265	1683	1749	0.6309226932668329	0.8394014962593517	0.8723192019950124
helix	3	2	3	3	0.6666666666666666	1.0	1.0
isbn	27	20	24	26	0.7407407407407407	0.8888888888888888	0.9629629629629629
fortran77	51	8	6	10	0.1568627450980392	0.11764705882352941	0.19607843137254902
d	421	381	421	421	0.9049881235154394	1.0	1.0
windows-controls	6	1	1	1	0.16666666666666666	0.16666666666666666	0.16666666666666666
hobbitmon	4	0	2	2	0.0	0.5	0.5
symbolicate	15	10	12	13	0.6666666666666666	0.8	0.8666666666666667
c	39098	33713	38961	39040	0.8622691697785053	0.9964959844493324	0.9985165481610313
data-layer	2	0	0	0	0.0	0.0	0.0
a	6	6	6	6	1.0	1.0	1.0
m	11	11	11	11	1.0	1.0	1.0
j	48	45	45	48	0.9375	0.9375	1.0
k	10	6	10	10	0.6	1.0	1.0
s	5	5	5	5	1.0	1.0	1.0
